t_s,x_m,z_m,vx,vz,mach,miss_distance_m
71.05,9724.96649537051,66.91092225551611,-49.960594730235954,-0.3437450886580439,0.1468211738666028,9725.196677064998
71.06,9724.466889423207,66.90748480462953,-49.960594730249646,-0.34374508865775094,0.14682117386664303,9724.697059292446
71.07000000000001,9723.967283475904,66.90404735374295,-49.960594730263175,-0.3437450886574615,0.14682117386668275,9724.197441519895
71.08,9723.4676775286,66.90060990285639,-49.96059473027654,-0.34374508865717557,0.14682117386672203,9723.697823747343
71.09,9722.968071581297,66.89717245196982,-49.96059473028974,-0.343745088656893,0.14682117386676083,9723.198205974792
71.10000000000001,9722.468465633994,66.89373500108326,-49.96059473030279,-0.34374508865661385,0.14682117386679916,9722.69858820224
71.11,9721.96885968669,66.89029755019669,-49.96059473031568,-0.343745088656338,0.14682117386683702,9722.198970429688
71.12,9721.469253739388,66.88686009931013,-49.96059473032841,-0.34374508865606546,0.14682117386687443,9721.699352657137
71.13,9720.969647792084,66.88342264842358,-49.960594730340986,-0.34374508865579617,0.1468211738669114,9721.199734884585
71.14,9720.470041844781,66.87998519753702,-49.960594730353414,-0.3437450886555301,0.1468211738669479,9720.700117112034
71.15,9719.970435897478,66.87654774665047,-49.96059473036569,-0.3437450886552672,0.14682117386698398,9720.20049933948
71.16,9719.470829950174,66.87311029576392,-49.96059473037782,-0.34374508865500747,0.14682117386701962,9719.70088156693
71.17,9718.971224002871,66.86967284487737,-49.96059473038981,-0.3437450886547508,0.14682117386705484,9719.201263794379
71.18,9718.471618055568,66.86623539399082,-49.96059473040165,-0.3437450886544972,0.14682117386708965,9718.701646021827
71.19,9717.972012108265,66.86279794310428,-49.96059473041335,-0.34374508865424663,0.146821173867124,9718.202028249276
71.2,9717.47240616096,66.85936049221775,-49.96059473042491,-0.34374508865399905,0.14682117386715798,9717.702410476722
71.21000000000001,9716.972800213654,66.85592304133121,-49.96059473043633,-0.3437450886537544,0.14682117386719154,9717.202792704169
71.22,9716.47319426635,66.85248559044467,-49.96059473044761,-0.3437450886535127,0.14682117386722468,9716.703174931616
71.23,9715.973588319044,66.84904813955814,-49.96059473045876,-0.3437450886532739,0.14682117386725743,9716.203557159062
71.24,9715.47398237174,66.8456106886716,-49.96059473046977,-0.34374508865303793,0.1468211738672898,9715.703939386509
71.25,9714.974376424434,66.84217323778508,-49.96059473048065,-0.3437450886528048,0.14682117386732174,9715.204321613955
71.26,9714.474770477129,66.83873578689855,-49.9605947304914,-0.3437450886525744,0.14682117386735333,9714.704703841402
71.27,9713.975164529824,66.83529833601203,-49.960594730502024,-0.3437450886523468,0.14682117386738455,9714.205086068849
71.28,9713.475558582519,66.83186088512551,-49.96059473051252,-0.34374508865212194,0.1468211738674154,9713.705468296295
71.29,9712.975952635214,66.82842343423899,-49.960594730522885,-0.34374508865189973,0.14682117386744584,9713.205850523742
71.3,9712.476346687909,66.82498598335246,-49.960594730533124,-0.3437450886516802,0.14682117386747592,9712.706232751189
71.31,9711.976740740603,66.82154853246595,-49.96059473054324,-0.34374508865146325,0.14682117386750565,9712.206614978635
71.32000000000001,9711.477134793298,66.81811108157945,-49.96059473055324,-0.3437450886512489,0.14682117386753504,9711.706997206082
71.33,9710.977528845993,66.81467363069294,-49.960594730563116,-0.34374508865103715,0.14682117386756405,9711.207379433528
71.34,9710.477922898688,66.81123617980643,-49.96059473057287,-0.34374508865082787,0.14682117386759272,9710.707761660975
71.35000000000001,9709.978316951383,66.80779872891992,-49.960594730582514,-0.3437450886506211,0.14682117386762106,9710.208143888422
71.36,9709.478711004078,66.80436127803341,-49.96059473059204,-0.3437450886504168,0.14682117386764906,9709.708526115866
71.37,9708.979105056771,66.8009238271469,-49.96059473060145,-0.34374508865021497,0.1468211738676767,9709.208908343313
71.38,9708.479499109464,66.79748637626041,-49.96059473061075,-0.3437450886500155,0.14682117386770402,9708.709290570758
71.39,9707.979893162157,66.79404892537391,-49.96059473061994,-0.34374508864981845,0.146821173867731,9708.209672798203
71.4,9707.48028721485,66.79061147448742,-49.96059473062901,-0.3437450886496237,0.14682117386775767,9707.710055025647
71.41,9706.980681267543,66.78717402360093,-49.96059473063798,-0.3437450886494313,0.146821173867784,9707.210437253092
71.42,9706.481075320236,66.78373657271443,-49.96059473064684,-0.34374508864924125,0.14682117386781005,9706.710819480537
71.43,9705.98146937293,66.78029912182794,-49.96059473065559,-0.34374508864905345,0.14682117386783577,9706.211201707982
71.44,9705.481863425623,66.77686167094144,-49.96059473066424,-0.3437450886488679,0.14682117386786117,9705.711583935426
71.45,9704.982257478316,66.77342422005496,-49.96059473067278,-0.3437450886486845,0.14682117386788626,9705.211966162871
71.46000000000001,9704.482651531009,66.76998676916848,-49.96059473068122,-0.34374508864850334,0.14682117386791105,9704.712348390314
71.47,9703.983045583702,66.766549318282,-49.960594730689564,-0.3437450886483243,0.14682117386793558,9704.21273061776
71.48,9703.483439636395,66.76311186739552,-49.96059473069781,-0.34374508864814746,0.1468211738679598,9703.713112845206
71.49,9702.983833689088,66.75967441650904,-49.96059473070595,-0.3437450886479727,0.1468211738679837,9703.21349507265
71.5,9702.484227741781,66.75623696562256,-49.96059473071399,-0.3437450886478,0.14682117386800736,9702.713877300095
71.51,9701.984621794474,66.75279951473608,-49.96059473072194,-0.3437450886476294,0.1468211738680307,9702.21425952754
71.52,9701.485015847167,66.7493620638496,-49.96059473072979,-0.34374508864746084,0.14682117386805377,9701.714641754985
